Functional coverage holes from merged.txt
========================================

Deduplication rule: for repeated covergroup names, only the occurrence with the
highest covergroup coverage is used. For repeated coverpoint names, only the
occurrence with the highest coverpoint coverage is listed. Coverpoints at 100%
are excluded.

Covergroup     Group coverage   Coverpoint       Coverage
------------   --------------   ---------------  --------
m_rd_cfg_cov          53.33%    cp_bd_stat          0.00%
m_rd_cfg_cov          53.33%    cp_int_source      50.00%
m_rw_bit_cov          98.09%    cp_reg             90.47%
m_wb_m_cov            87.07%    cp_mem_addr        95.71%
m_wb_m_cov            87.07%    cp_mem_data        98.48%
m_wr_cfg_cov          46.16%    cp_collconfig       0.00%
m_wr_cfg_cov          46.16%    cp_bd_len            4.28%
m_wr_cfg_cov          46.16%    cp_minfl             7.24%
m_wr_cfg_cov          46.16%    cp_maxfl             8.57%
m_wr_cfg_cov          46.16%    cp_tx_bd_num        16.32%
m_wr_cfg_cov          46.16%    cp_retry            25.00%
m_wr_cfg_cov          46.16%    cp_ipgr1            33.33%
m_wr_cfg_cov          46.16%    cp_ipgr2            33.33%
m_wr_cfg_cov          46.16%    cp_int_mask         37.50%
m_wr_cfg_cov          46.16%    cp_bd_cfg           44.44%
m_wr_cfg_cov          46.16%    cp_mac_addr0        53.12%
m_wr_cfg_cov          46.16%    cp_txctrl           54.28%
m_wr_cfg_cov          46.16%    cp_ctrlmoder        75.00%

Total unique coverpoints below 100%: 18
